"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.552589636E0,-6.541254520E-1,9.656567574E0,1.122774005E0
1.569255573E0,-7.324888110E-1,9.658947945E0,1.036419511E0
1.585921511E0,-6.956241131E-1,9.634871483E0,9.551761746E-1
1.602587448E0,-6.232691407E-1,9.556029320E0,8.994250298E-1
1.619253386E0,-5.354554653E-1,9.792066574E0,9.651672244E-1
1.635919323E0,-3.886801302E-1,9.804637909E0,9.335494041E-1
1.652585261E0,-3.391046524E-1,9.721364021E0,7.532631755E-1
1.669251198E0,-1.869180053E-1,9.655545235E0,3.108446598E-1
1.685917136E0,4.018941149E-2,9.672516823E0,1.088111624E-1
1.702583073E0,1.415731609E-1,9.712532043E0,2.854305208E-1
1.719249011E0,1.143695042E-1,9.888251305E0,6.902535558E-1
1.735914948E0,4.381410405E-2,1.007821369E1,7.091709971E-1
1.752580886E0,-1.417350024E-2,1.009281826E1,6.773540378E-1
1.769246823E0,-2.217853665E-1,9.854447365E0,7.551789284E-1
1.785912761E0,-2.893215418E-1,9.772273064E0,7.116642594E-1
1.802578698E0,-4.512058794E-1,9.813122749E0,6.552308202E-1
1.819244636E0,-6.517478824E-1,9.958518982E0,7.431473136E-1
1.835910573E0,-7.266886830E-1,9.820969582E0,7.341196537E-1
1.852576511E0,-7.815272212E-1,9.652584076E0,7.394733429E-1
1.869242448E0,-7.907877564E-1,9.663311958E0,9.619838595E-1
1.885908386E0,-7.579634190E-1,9.859641075E0,1.087575674E0
1.902574323E0,-5.649905801E-1,1.017858219E1,1.009937763E0
1.919240261E0,-4.370240271E-1,1.014301395E1,1.050382495E0
1.935906198E0,-4.799791574E-1,9.987947464E0,1.001896739E0
1.952572136E0,-4.767563641E-1,9.940863609E0,8.603573442E-1
1.969238073E0,-5.000143051E-1,1.000594616E1,8.134588599E-1
1.985904011E0,-5.044022202E-1,9.780551910E0,8.132234216E-1
2.002569948E0,-5.932329297E-1,9.625099182E0,9.382087588E-1
2.019235886E0,-6.820952296E-1,9.687819481E0,9.739513397E-1
2.035901823E0,-6.866448522E-1,9.753533363E0,8.970726132E-1
2.052567761E0,-6.479952335E-1,9.770936012E0,8.799631596E-1
2.069233698E0,-5.064821243E-1,9.679043770E0,9.010275006E-1
2.085899636E0,-4.456689656E-1,9.759483337E0,8.484547734E-1
2.102565573E0,-3.458410501E-1,9.927016258E0,8.149931431E-1
2.119231511E0,-2.790610790E-1,9.877745628E0,6.705415845E-1
2.135897448E0,-3.043069541E-1,9.827939034E0,5.205240250E-1
2.152563386E0,-3.676632941E-1,9.934413910E0,3.459459841E-1
2.169229323E0,-4.234447181E-1,1.001619053E1,1.995902210E-1
2.185895261E0,-4.162310660E-1,9.855456352E0,2.001965195E-1
2.202561198E0,-4.954520464E-1,9.760159492E0,2.613926828E-1
2.219227136E0,-6.563742757E-1,9.931781769E0,4.591552019E-1
2.235893073E0,-7.333807945E-1,9.965310097E0,6.331766248E-1
2.252559011E0,-7.959955335E-1,9.777929306E0,6.782026887E-1
2.269224948E0,-8.018312454E-1,9.691877365E0,5.115694404E-1
2.285890886E0,-7.906756401E-1,9.812504768E0,4.905860722E-1
2.302556823E0,-7.104351521E-1,9.841392517E0,4.738298953E-1
2.319222761E0,-6.342260242E-1,9.857317924E0,5.280919671E-1
2.335888698E0,-5.509667993E-1,9.901696205E0,4.828322828E-1
2.352554636E0,-5.463546515E-1,9.974208832E0,5.176510215E-1
2.369220573E0,-5.314337611E-1,1.000599766E1,5.602062941E-1
2.385886511E0,-5.143867135E-1,9.870047569E0,4.360551834E-1
2.402552448E0,-5.355650783E-1,9.829308510E0,3.214221001E-1
2.419218386E0,-6.487392783E-1,9.824137688E0,3.022983670E-1
2.435884323E0,-7.386298776E-1,9.755242348E0,4.066666365E-1
2.452550261E0,-7.667522430E-1,9.679183006E0,5.072108507E-1
2.469216198E0,-7.654257417E-1,9.714828491E0,4.827845991E-1
2.485882136E0,-7.700131536E-1,9.763812065E0,5.538411140E-1
2.502548073E0,-7.305473685E-1,9.771780968E0,6.173297763E-1
2.519214011E0,-7.455279231E-1,9.835558891E0,6.453537345E-1
2.535879948E0,-7.072482705E-1,9.932322502E0,7.174870372E-1
2.552545886E0,-6.357176304E-1,9.986271858E0,7.802181244E-1
2.569211823E0,-5.889050961E-1,9.924214363E0,7.443482280E-1
2.585877761E0,-5.289179683E-1,9.826584816E0,6.745851636E-1
2.602543698E0,-4.911532104E-1,9.870768547E0,6.841542125E-1
2.619209636E0,-5.095367432E-1,9.863640785E0,7.234123349E-1
2.635875573E0,-5.023720860E-1,9.792789459E0,7.340624332E-1
2.652541511E0,-5.205380917E-1,9.739726067E0,6.992442012E-1
2.669207448E0,-5.215515494E-1,9.842495918E0,8.004875779E-1
2.685873386E0,-4.883303642E-1,9.860164642E0,8.355736732E-1
2.702539323E0,-4.940320551E-1,9.822669983E0,8.065182567E-1
2.719205261E0,-4.843347967E-1,9.812758446E0,7.210723758E-1
2.735871198E0,-4.798126519E-1,9.827836037E0,6.274344921E-1
2.752537136E0,-4.989189804E-1,9.807599068E0,7.667129040E-1
2.769203073E0,-4.797602892E-1,9.884514809E0,7.583436966E-1
2.785869011E0,-4.721113145E-1,9.877860069E0,7.466475964E-1
2.802534948E0,-4.815729856E-1,9.808247566E0,6.999974847E-1
2.819200886E0,-4.802006781E-1,9.831617355E0,7.007818222E-1
2.835866823E0,-4.861004353E-1,9.853852272E0,7.796470523E-1
2.852532761E0,-4.940611422E-1,9.797467232E0,7.194962502E-1
2.869198698E0,-5.047913194E-1,9.837375641E0,6.846160293E-1
2.885864636E0,-5.301410556E-1,9.816836357E0,7.737505436E-1
2.902530573E0,-6.467257142E-1,9.868826866E0,8.546209335E-1
2.919196511E0,-6.818655133E-1,9.878487587E0,8.964654803E-1
2.935862448E0,-6.749467850E-1,9.827757835E0,1.015139937E0
2.952528386E0,-7.315783501E-1,9.778328896E0,1.242818832E0
