"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.347118284E0,3.723462522E-1,1.405868530E-1,-6.732318401E-1
1.363784950E0,4.313910604E-1,2.354612350E-1,-5.476309061E-1
1.380451616E0,5.184680223E-1,1.354179382E-1,-2.996623516E-2
1.397118282E0,3.513566256E-1,6.262493134E-2,3.615555763E-1
1.413784948E0,2.463438213E-1,-3.817462921E-2,1.869983673E-1
1.430451614E0,2.336326241E-1,-4.877185822E-2,9.859037399E-2
1.447118280E0,1.164979935E-1,-9.856796265E-2,-7.309257984E-2
1.463784946E0,1.180153936E-1,-5.087089539E-2,-1.091158390E-2
1.480451612E0,8.891473711E-2,1.300363541E-1,-2.916014194E-2
1.497118278E0,-4.005950689E-2,2.639284134E-1,-1.063175201E-1
1.513784944E0,1.980553567E-2,3.674421310E-1,7.861638069E-2
1.530451610E0,-1.543003470E-1,1.200542450E-1,2.579107881E-1
1.547118276E0,-3.182519078E-1,-1.433010101E-1,2.349968553E-1
1.563784942E0,-4.861966968E-1,-1.838493347E-1,1.312982440E-1
1.580451608E0,-5.106197596E-1,-1.612281799E-1,1.015372872E-1
1.597118274E0,-4.619312882E-1,-2.199096680E-1,-2.099663019E-2
1.613784940E0,-3.668119907E-1,-2.159137726E-1,1.794612408E-2
1.630451606E0,-1.585479826E-1,3.243446350E-3,1.445943117E-2
1.647118272E0,-1.435274482E-1,-2.919101715E-2,-1.080954075E-2
1.663784938E0,7.987886667E-3,-1.474361420E-1,-4.158889651E-1
1.680451604E0,1.585080922E-1,-1.552705765E-1,-7.346825004E-1
1.697118270E0,4.079171717E-1,-1.336536407E-1,-7.386379838E-1
1.713784936E0,4.229921103E-1,-2.844047546E-2,-4.390983582E-1
1.730451602E0,3.552613258E-1,1.663122177E-1,-4.388016462E-2
1.747118268E0,3.718969524E-1,3.403606415E-1,-1.733798981E-1
1.763784934E0,2.044755816E-1,1.397342682E-1,-5.681407452E-2
1.780451600E0,6.563216448E-2,-2.612209320E-2,-3.117018938E-2
1.797118266E0,-4.857233167E-2,-2.292633057E-2,-1.303222775E-1
1.813784932E0,-1.846524775E-1,2.662277222E-2,-1.213102341E-1
1.830451598E0,-3.538383842E-1,1.139802933E-1,8.395606279E-2
1.847118264E0,-3.922235668E-1,-8.297443390E-2,-4.151934385E-2
1.863784930E0,-4.032403231E-1,-2.000598907E-1,8.931535482E-2
1.880451596E0,-3.958458602E-1,-1.390457153E-1,3.784410954E-1
1.897118262E0,-2.458013296E-1,2.105875015E-1,3.682273030E-1
1.913784928E0,-7.568097115E-2,3.952207565E-1,3.079758883E-1
1.930451594E0,2.817624807E-2,1.938009262E-1,4.626315832E-1
1.947118260E0,1.557436585E-2,1.065750122E-1,2.591969967E-1
1.963784926E0,-1.715809107E-3,1.229238510E-1,1.416125894E-1
1.980451592E0,-2.348649502E-2,1.336812973E-1,1.139821410E-1
1.997118258E0,-6.151136756E-2,-1.693525314E-1,1.215655804E-1
2.013784924E0,-1.732067168E-1,-2.250556946E-1,2.202492952E-1
2.030451590E0,-2.068606615E-1,-1.068172455E-1,1.955977082E-1
2.047118256E0,-1.885593235E-1,-7.614898682E-2,1.229217649E-1
2.063784922E0,-1.146717668E-1,-7.955265045E-2,1.578743458E-1
2.080451588E0,3.722622991E-2,-1.889638901E-1,1.643343568E-1
2.097118254E0,1.073594987E-1,1.831912994E-2,1.249306798E-1
2.113784920E0,2.087719738E-1,1.059179306E-1,9.164816141E-2
2.130451586E0,2.302750647E-1,-4.289627075E-3,-6.576550007E-2
2.147118252E0,1.892252862E-1,4.575824738E-2,-2.152835727E-1
2.163784918E0,1.441195309E-1,1.320114136E-1,-3.742960095E-1
2.180451584E0,9.474918246E-2,9.402179718E-2,-4.804802537E-1
2.197118250E0,1.072686017E-1,-3.194141388E-2,-4.386307001E-1
2.213784916E0,-4.945975542E-2,-2.391910553E-2,-2.804852128E-1
2.230451582E0,-1.723161340E-1,1.720294952E-1,-1.117879748E-1
2.247118248E0,-2.521661520E-1,5.247497559E-2,6.096702814E-2
2.263784914E0,-2.642994523E-1,-1.451396942E-1,3.673654795E-2
2.280451580E0,-2.845698595E-1,-8.891677856E-2,-1.872817874E-1
2.297118246E0,-1.717380881E-1,-1.000308990E-2,-1.244314909E-1
2.313784912E0,-1.616442204E-1,3.507518768E-2,-3.883028030E-2
2.330451578E0,-5.770963430E-2,1.567840576E-2,-6.751042604E-2
2.347118244E0,-1.823437214E-2,7.614326477E-2,-1.165957451E-1
2.363784910E0,1.008391380E-3,1.447210312E-1,-2.720516920E-2
2.380451576E0,1.001876593E-2,9.643173218E-2,-6.386852264E-2
2.397118242E0,1.985609531E-2,-2.360820770E-2,-2.224703431E-1
2.413784908E0,-7.164669037E-2,-2.011013031E-2,-2.671173215E-1
2.430451574E0,-1.563661695E-1,-2.368736267E-2,-2.743978500E-1
2.447118240E0,-2.360404134E-1,-1.537704468E-1,-1.346243024E-1
2.463784906E0,-2.214918733E-1,-1.586952209E-1,-8.923655748E-2
2.480451572E0,-2.530505061E-1,-1.038942337E-1,-1.384624243E-1
2.497118238E0,-2.172850370E-1,-5.654621124E-2,-2.128922939E-2
2.513784904E0,-2.106130123E-1,-5.940723419E-2,1.717686653E-2
2.530451570E0,-2.252168655E-1,4.082965851E-2,4.174035788E-2
2.547118236E0,-1.338981986E-1,1.137790680E-1,1.502646804E-1
2.563784902E0,-1.103475094E-1,1.625528336E-1,1.544750333E-1
2.580451568E0,-5.614507198E-2,3.545475006E-2,6.660050154E-2
2.597118234E0,-3.075361252E-3,-2.586269379E-2,2.363663912E-2
2.613784900E0,9.027659893E-3,4.582023621E-2,3.790050745E-2
2.630451566E0,2.339544892E-2,7.361412048E-3,8.501917124E-2
2.647118232E0,2.216574550E-2,-1.154346466E-1,4.805886745E-2
2.663784898E0,2.515932918E-2,-5.478858948E-2,5.949205160E-2
2.680451564E0,2.837240696E-3,3.583431244E-2,1.846967340E-1
2.697118230E0,2.837240696E-3,3.583431244E-2,1.846967340E-1
2.713784896E0,2.612319589E-2,-2.191925049E-2,1.101830602E-1
2.730451562E0,1.071986556E-2,-1.663017273E-2,-3.099370003E-2
2.747118228E0,2.389946580E-2,-1.659011841E-2,-1.614534855E-2
2.763784894E0,-9.846091270E-4,-1.102256775E-2,1.298246980E-1
2.780451560E0,3.123095632E-2,7.624149323E-2,4.635411501E-2
2.797118226E0,3.241160512E-2,-1.549911499E-2,7.328885794E-2
2.813784892E0,2.967575192E-2,-4.310989380E-2,4.381597042E-3
2.830451558E0,2.940526605E-2,1.466751099E-2,4.325056076E-2
2.847118224E0,1.902815700E-2,-2.554893494E-3,1.096134186E-1
2.863784890E0,1.540273428E-2,-3.495407104E-2,1.038044691E-2
2.880451556E0,-9.455442429E-3,1.741695404E-2,1.217865944E-2
2.897118222E0,-9.460207820E-2,-2.546405792E-2,1.489963531E-1
2.913784888E0,-1.524119377E-1,4.003143311E-2,1.966204047E-1
2.930451554E0,-1.996481717E-1,4.693126678E-2,2.532989979E-1
2.947118220E0,-1.614350677E-1,-4.241561890E-2,4.170075059E-1
2.963784886E0,-2.614301443E-1,-5.650711060E-2,6.375150681E-1
