"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.703995530E-1,-2.216049433E0,3.881720066E0,8.948713303E0,1.000290435E1
1.727690320E-1,-2.151408672E0,3.785956144E0,8.912802696E0,9.919681200E0
1.751385110E-1,-2.125073433E0,3.829050064E0,8.752397537E0,9.786829116E0
1.775072090E-1,-2.120285511E0,3.841020584E0,8.663815498E0,9.711372136E0
1.798759070E-1,-2.110708952E0,3.802714825E0,8.577629089E0,9.617247689E0
1.822454380E-1,-2.086768150E0,3.788350344E0,8.503411293E0,9.540136438E0
1.846149170E-1,-2.093950272E0,3.764409304E0,8.479470253E0,9.510879082E0
1.869836150E-1,-2.050856590E0,3.685404062E0,8.496229172E0,9.485469203E0
1.893523130E-1,-2.034097672E0,3.675827503E0,8.433982849E0,9.422384405E0
1.917218440E-1,-2.046068192E0,3.661463022E0,8.369341850E0,9.361548457E0
1.940913240E-1,-2.089162350E0,3.596822262E0,8.321459770E0,9.303140460E0
1.964599690E-1,-2.175349712E0,3.522605181E0,8.259213448E0,9.238804057E0
1.988287190E-1,-2.283084393E0,3.534575701E0,8.271183968E0,9.279988360E0
2.011981990E-1,-2.378848076E0,3.560910702E0,8.319066048E0,9.356594632E0
2.035676780E-1,-2.515311718E0,3.582457781E0,8.374129295E0,9.449171299E0
2.059363760E-1,-2.745145321E0,3.721315622E0,8.343007088E0,9.538856329E0
2.083051260E-1,-2.970190525E0,3.785956144E0,8.390889168E0,9.672771925E0
2.106746050E-1,-3.180871248E0,3.912843227E0,8.501017570E0,9.884107636E0
2.130440840E-1,-3.343670130E0,4.022972107E0,8.467499733E0,9.953039045E0
2.154127820E-1,-3.453798532E0,4.090006828E0,8.498623848E0,1.004407723E1
2.177815320E-1,-3.563926935E0,4.166617870E0,8.541716576E0,1.015003457E1
2.201510110E-1,-3.559138775E0,4.195346832E0,8.546505928E0,1.016421012E1
2.225204900E-1,-3.525621414E0,4.207317352E0,8.599175453E0,1.020183043E1
2.248891880E-1,-3.458586693E0,4.216894150E0,8.575234413E0,1.016261105E1
2.272578860E-1,-3.295788050E0,4.209711552E0,8.544110298E0,1.007897371E1
2.296274170E-1,-3.113836527E0,4.209711552E0,8.503411293E0,9.986273223E0
2.319968960E-1,-2.872032642E0,4.226470470E0,8.448347092E0,9.873509645E0
2.343655940E-1,-2.599105358E0,4.243228912E0,8.414829254E0,9.775975227E0
2.367342920E-1,-2.321389675E0,4.305475712E0,8.383707047E0,9.706313150E0
2.391038240E-1,-2.041280270E0,4.401239395E0,8.433982849E0,9.729840700E0
2.414733030E-1,-1.775535345E0,4.480245113E0,8.577629089E0,9.838741933E0
2.438419490E-1,-1.457120180E0,4.573614597E0,8.510593414E0,9.770944170E0
2.462106990E-1,-1.236863017E0,4.734018803E0,8.422011375E0,9.740176577E0
2.485801780E-1,-1.059699655E0,4.887241364E0,8.410041809E0,9.784523225E0
2.509496570E-1,-8.801423311E-1,4.983005524E0,8.407648087E0,9.812927235E0
2.533183550E-1,-7.460727692E-1,5.117074966E0,8.426800728E0,9.886963705E0
2.556871050E-1,-6.766438484E-1,5.169744968E0,8.240060806E0,9.751036459E0
2.580565840E-1,-5.976386070E-1,5.243962288E0,8.120355606E0,9.684858675E0
2.604260630E-1,-5.952445269E-1,5.299026489E0,7.995863438E0,9.610818378E0
2.627947610E-1,-6.167914867E-1,5.366061687E0,7.907281399E0,9.576019470E0
2.651635110E-1,-6.862202883E-1,5.442672729E0,7.847428799E0,9.574744042E0
2.675329900E-1,-7.987428904E-1,5.495342731E0,7.718147755E0,9.508237834E0
2.699024690E-1,-9.567533731E-1,5.555194855E0,7.682236195E0,9.528500398E0
2.722711670E-1,-1.184192896E0,5.634200573E0,7.672659874E0,9.592509497E0
2.746398650E-1,-1.423602819E0,5.691658497E0,7.763635159E0,9.731169113E0
2.770093960E-1,-1.722865105E0,5.703629017E0,7.797152519E0,9.813013581E0
2.793788760E-1,-2.096344471E0,5.720387936E0,7.900099277E0,9.976425556E0
2.817475740E-1,-2.457853317E0,5.708417416E0,7.993468761E0,1.012534519E1
2.841162710E-1,-2.855273724E0,5.727570057E0,8.043745041E0,1.027907978E1
2.864858030E-1,-3.216782808E0,5.729964733E0,8.141902924E0,1.046282804E1
2.888552820E-1,-3.539986134E0,5.706023693E0,8.194572449E0,1.059439596E1
2.912239280E-1,-3.812913179E0,5.667717457E0,8.405253410E0,1.083095624E1
2.935926780E-1,-4.047534943E0,5.564771652E0,8.457923889E0,1.090347189E1
2.959621570E-1,-4.205545425E0,5.466613293E0,8.472288132E0,1.092474894E1
2.983316360E-1,-4.337220669E0,5.332543850E0,8.460317612E0,1.090066425E1
3.007003340E-1,-4.394678593E0,5.217627048E0,8.422011375E0,1.083822437E1
3.030690840E-1,-4.409043789E0,5.152986526E0,8.426800728E0,1.081683446E1
3.054385630E-1,-4.442560673E0,5.088346004E0,8.362159729E0,1.074957328E1
3.078080420E-1,-4.440166950E0,5.057222366E0,8.359766006E0,1.073202070E1
3.101767400E-1,-4.428196430E0,5.047646046E0,8.424406052E0,1.077303446E1
3.125454380E-1,-4.449743271E0,5.062010765E0,8.498623848E0,1.084669422E1
3.149149690E-1,-4.456925869E0,5.105104446E0,8.551293373E0,1.091104477E1
3.172844490E-1,-4.444955349E0,5.138621807E0,8.639874458E0,1.099138266E1
3.196531460E-1,-4.411437988E0,5.152986526E0,8.702121735E0,1.103362941E1
3.220218440E-1,-4.353979111E0,5.164957047E0,8.750003815E0,1.105425177E1
3.243913760E-1,-4.258215427E0,5.188898087E0,8.843373299E0,1.110235620E1
3.267608550E-1,-4.176815987E0,5.174533367E0,8.881678581E0,1.109530539E1
3.291295010E-1,-4.059505463E0,5.157774448E0,8.979836464E0,1.112293508E1
3.314982510E-1,-3.932617903E0,5.169744968E0,9.042083740E0,1.113332946E1
3.338677300E-1,-3.820095301E0,5.133833408E0,9.073206902E0,1.110281302E1
3.362372090E-1,-3.695602655E0,5.129045486E0,9.111513138E0,1.108982679E1
3.386059070E-1,-3.506468534E0,5.124257565E0,9.128272057E0,1.103986811E1
3.409746570E-1,-3.353246212E0,5.121862888E0,9.123482704E0,1.098706859E1
3.433441360E-1,-3.159324169E0,5.121862888E0,9.073206902E0,1.088751083E1
3.457136150E-1,-2.979767084E0,5.095528126E0,9.046872139E0,1.080228283E1
3.480823130E-1,-2.788239002E0,5.069192886E0,8.929560661E0,1.063992701E1
3.504510630E-1,-2.618257999E0,5.040463924E0,8.860131264E0,1.052442291E1
3.528205420E-1,-2.477006197E0,5.011734486E0,8.800279617E0,1.042583155E1
3.551900210E-1,-2.302237034E0,4.980611324E0,8.675786972E0,1.026528441E1
3.575587190E-1,-2.189714193E0,4.992581844E0,8.572840691E0,1.015944483E1
3.599274170E-1,-2.077191830E0,4.947093964E0,8.429194450E0,9.991985972E0
3.622969490E-1,-1.981427670E0,4.944700241E0,8.254425049E0,9.824034251E0
3.646664280E-1,-1.883269787E0,4.937517643E0,8.094020844E0,9.666382932E0
3.670350740E-1,-1.890452147E0,4.913576603E0,8.010227203E0,9.585446479E0
3.694038240E-1,-1.840175867E0,4.908788681E0,7.914463520E0,9.493217913E0
3.717733550E-1,-1.849752188E0,4.892030239E0,7.861793995E0,9.442528678E0
3.741428340E-1,-1.916787148E0,4.918365002E0,7.880946636E0,9.485447124E0
3.765114800E-1,-1.940727949E0,4.911182404E0,7.854610920E0,9.464726635E0
3.788802300E-1,-2.050856590E0,4.882453442E0,7.830669880E0,9.453240457E0
3.812497090E-1,-2.144226551E0,4.858512402E0,7.833064556E0,9.463601355E0
3.836191880E-1,-2.230413914E0,4.832177639E0,7.830669880E0,9.468055647E0
3.859878860E-1,-2.335754395E0,4.817812443E0,7.789970875E0,9.452550532E0
3.883566360E-1,-2.405183315E0,4.784295559E0,7.785181999E0,9.448991985E0
3.907261150E-1,-2.486582518E0,4.748383999E0,7.823487759E0,9.483522759E0
3.930955940E-1,-2.508129597E0,4.724442959E0,7.873764515E0,9.518783692E0
3.954642920E-1,-2.553617239E0,4.707684040E0,7.955163479E0,9.589988321E0
3.978329900E-1,-2.563193798E0,4.650226116E0,8.036561966E0,9.632283925E0
4.002025210E-1,-2.548829079E0,4.607131958E0,8.113173485E0,9.671906665E0
4.025720010E-1,-2.529676199E0,4.552067280E0,8.153873444E0,9.675031283E0
4.049406990E-1,-2.529676199E0,4.542491436E0,8.259213448E0,9.759513148E0
4.073093960E-1,-2.510523558E0,4.547279358E0,8.381312370E0,9.860368915E0
4.096789280E-1,-2.524888039E0,4.530520916E0,8.489047050E0,9.948095255E0
4.120484070E-1,-2.563193798E0,4.513761997E0,8.603963852E0,1.004849261E1
4.144170530E-1,-2.553617239E0,4.470668316E0,8.747610092E0,1.015029647E1
4.167858030E-1,-2.551223278E0,4.463486195E0,8.850555420E0,1.023541794E1
4.191552820E-1,-2.532070637E0,4.458697796E0,8.903225899E0,1.027418119E1
4.215247610E-1,-2.500947237E0,4.422786713E0,8.975049019E0,1.031345162E1
4.238934590E-1,-2.414759636E0,4.398845673E0,9.018142700E0,1.032026187E1
4.262622090E-1,-2.350119114E0,4.338993073E0,9.073206902E0,1.032826240E1
4.286316880E-1,-2.235202312E0,4.310264111E0,9.092359543E0,1.030754617E1
