"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.240307900E-2,-2.579952478E0,4.389268875E0,6.873030663E0,8.553384508E0
2.481953700E-2,-2.594316959E0,4.331810474E0,6.935276985E0,8.578643793E0
2.723594300E-2,-2.575164318E0,4.250411510E0,7.062164783E0,8.635487288E0
2.965229800E-2,-2.606287479E0,4.219287872E0,7.193839550E0,8.737645681E0
3.206875600E-2,-2.606287479E0,4.171405792E0,7.351850510E0,8.845511100E0
3.448526600E-2,-2.572770119E0,4.101977348E0,7.497890472E0,8.925453814E0
3.690172500E-2,-2.560799599E0,4.042124748E0,7.629565716E0,9.005928052E0
3.931818300E-2,-2.546435118E0,3.987060547E0,7.775605679E0,9.101704636E0
4.173469300E-2,-2.548829079E0,3.931996346E0,7.919251919E0,9.201721355E0
4.415120400E-2,-2.560799599E0,3.886508226E0,8.060503006E0,9.307757490E0
4.656771400E-2,-2.565587759E0,3.819473505E0,8.208937645E0,9.410487536E0
4.898422500E-2,-2.517705679E0,3.740468264E0,8.366948128E0,9.504512912E0
5.140073500E-2,-2.486582518E0,3.685404062E0,8.503411293E0,9.595483278E0
5.381729800E-2,-2.465035677E0,3.630339861E0,8.637480736E0,9.688232133E0
5.623386000E-2,-2.424335957E0,3.560910702E0,8.711697578E0,9.718598899E0
5.865042300E-2,-2.366877556E0,3.510634661E0,8.817038536E0,9.780942369E0
6.106698500E-2,-2.378848076E0,3.484299660E0,8.908013344E0,9.856569587E0
6.348354800E-2,-2.359695196E0,3.450782299E0,8.984625816E0,9.909569161E0
6.590011000E-2,-2.378848076E0,3.424447298E0,9.099541664E0,1.000936641E1
6.831667300E-2,-2.398000956E0,3.402900219E0,9.212064743E0,1.010901950E1
7.073323500E-2,-2.419547796E0,3.386141777E0,9.350922585E0,1.023522940E1
7.314979800E-2,-2.419547796E0,3.398112297E0,9.511326790E0,1.038589024E1
7.556636000E-2,-2.409971237E0,3.386141777E0,9.638215065E0,1.049614725E1
7.798292300E-2,-2.417153835E0,3.383747578E0,9.753130913E0,1.060263849E1
8.039948500E-2,-2.429124355E0,3.393323898E0,9.865653992E0,1.071197558E1
8.281604800E-2,-2.445882797E0,3.417264938E0,9.889595032E0,1.074542378E1
8.523261000E-2,-2.488976717E0,3.417264938E0,9.956629753E0,1.081698575E1
8.764917300E-2,-2.510523558E0,3.424447298E0,1.001408768E1,1.087710990E1
9.006573500E-2,-2.503341198E0,3.414870739E0,1.003324032E1,1.089008589E1
